order_id,courier_name,dispatch_date,delivery_date
ORD000001,GoTo Logistics,2023-09-26,2023-09-30
ORD000002,SiCepat,2022-08-12,2022-08-16
ORD000003,JNE,2024-05-23,2024-05-26
ORD000004,GoTo Logistics,2024-06-18,2024-06-23
ORD000005,SiCepat,2024-03-13,2024-03-14
ORD000006,GoTo Logistics,2023-08-25,2023-08-30
ORD000007,GoTo Logistics,2023-09-27,2023-09-29
ORD000008,JNE,2023-02-09,2023-02-13
ORD000009,GoTo Logistics,2023-08-30,2023-08-31
ORD000010,SiCepat,2023-05-28,2023-06-03
ORD000011,GoTo Logistics,2023-01-30,2023-01-26
ORD000012,AnterAja,2023-12-16,2023-12-21
ORD000013,GoTo Logistics,2024-02-21,2024-02-18
ORD000014,GoTo Logistics,2023-06-06,2023-06-10
ORD000015,GoTo Logistics,2023-02-11,2023-02-13
ORD000016,GoTo Logistics,2024-07-17,2024-07-19
ORD000017,SiCepat,2022-11-10,2022-11-07
ORD000018,SiCepat,2024-01-04,2024-01-05
ORD000019,JNE,2023-11-11,2023-11-17
ORD000020,JNE,2024-02-13,2024-02-17
ORD000021,AnterAja,2023-07-01,2023-07-06
ORD000022,JNE,2023-08-28,2023-09-03
ORD000023,JNE,2023-08-29,2023-09-02
ORD000024,GoTo Logistics,2023-06-11,2023-06-17
ORD000025,JNE,2022-11-20,2022-11-26
ORD000026,AnterAja,2022-03-12,2022-03-15
ORD000027,nan,2022-12-27,2022-12-28
ORD000028,SiCepat,2023-01-05,2023-01-11
ORD000029,JNE,2023-06-24,2023-06-27
ORD000030,JNE,2023-03-08,2023-03-14
ORD000031,AnterAja,2023-04-08,2023-04-11
ORD000032,GoTo Logistics,2022-12-30,2023-01-02
ORD000033,JNE,2023-09-28,2023-10-04
ORD000034,GoTo Logistics,2024-01-02,2024-01-04
ORD000035,GoTo Logistics,2023-02-08,2023-02-10
ORD000036,JNE,2023-07-18,2023-07-24
ORD000037,GoTo Logistics,2023-09-25,2023-10-01
ORD000038,GoTo Logistics,2022-07-16,2022-07-20
ORD000039,JNE,2023-05-23,2023-05-25
ORD000040,JNE,2024-05-05,2024-05-11
ORD000041,SiCepat,2023-01-02,2023-01-08
ORD000042,AnterAja,2022-05-28,2022-06-01
ORD000043,GoTo Logistics,2023-07-23,2023-07-26
ORD000044,GoTo Logistics,2023-03-18,2023-03-22
ORD000045,SiCepat,2024-03-25,2024-03-29
ORD000046,GoTo Logistics,2023-07-19,2023-07-22
ORD000047,JNE,2022-09-25,2022-09-30
ORD000048,SiCepat,2023-10-14,2023-10-19
ORD000049,SiCepat,2023-05-19,2023-05-20
ORD000050,nan,2023-11-08,2023-11-09
ORD000051,GoTo Logistics,2022-12-15,2022-12-21
ORD000052,JNE,2022-09-13,2022-09-14
ORD000053,AnterAja,2022-05-04,2022-05-06
ORD000054,SiCepat,2023-07-14,2023-07-16
ORD000055,JNE,2022-03-17,2022-03-23
ORD000056,nan,2023-12-11,2023-12-17
ORD000057,JNE,2023-05-27,2023-05-28
ORD000058,GoTo Logistics,2023-03-16,2023-03-20
ORD000059,GoTo Logistics,2022-08-11,2022-08-17
ORD000060,JNE,2024-05-28,2024-05-31
ORD000061,GoTo Logistics,2023-05-27,2023-06-01
ORD000062,JNE,2023-07-06,2023-07-09
ORD000063,GoTo Logistics,2022-09-30,2022-10-06
ORD000064,GoTo Logistics,2022-10-03,2022-10-09
ORD000065,JNE,2023-06-15,2023-06-20
ORD000066,GoTo Logistics,2023-05-28,2023-05-29
ORD000067,SiCepat,2023-02-26,2023-02-27
ORD000068,JNE,2022-06-30,2022-07-05
ORD000069,JNE,2024-06-23,2024-06-26
ORD000070,JNE,2023-05-24,2023-05-30
ORD000071,JNE,2024-04-21,2024-04-23
ORD000072,GoTo Logistics,2022-09-19,2022-09-20
ORD000073,GoTo Logistics,2023-09-06,2023-09-09
ORD000074,GoTo Logistics,2024-01-09,2024-01-12
ORD000075,GoTo Logistics,2022-10-23,2022-10-19
ORD000076,JNE,2024-02-08,2024-02-11
ORD000077,JNE,2022-07-28,2022-08-01
ORD000078,nan,2023-10-08,2023-10-13
ORD000079,GoTo Logistics,2023-03-21,2023-03-26
ORD000080,GoTo Logistics,2024-01-29,2024-02-02
ORD000081,SiCepat,2023-08-06,2023-08-11
ORD000082,JNE,2023-04-19,2023-04-25
ORD000083,SiCepat,2022-10-07,2022-10-12
ORD000084,SiCepat,2023-10-25,2023-10-31
ORD000085,GoTo Logistics,2023-06-20,2023-06-26
ORD000086,JNE,2022-04-03,2022-04-05
ORD000087,JNE,2023-10-18,2023-10-23
ORD000088,JNE,2023-08-22,2023-08-25
ORD000089,JNE,2024-05-31,2024-06-06
ORD000090,SiCepat,2023-02-20,2023-02-23
ORD000091,JNE,2023-08-12,2023-08-16
ORD000092,GoTo Logistics,2023-09-15,2023-09-16
ORD000093,SiCepat,2023-09-16,2023-09-22
ORD000094,JNE,2023-12-13,2023-12-14
ORD000095,SiCepat,2024-05-15,2024-05-17
ORD000096,GoTo Logistics,2024-04-04,2024-04-09
