order_id,user_id,order_date,payment_method,promo_amount,total_amount
ORD000001,USR01057,2023-09-26,GoPay,0,531947
ORD000002,USR26336,2022-08-10,ovo,10000,1054104
ORD000003,USR25466,2024-05-21,COD,0,1067647
ORD000004,USR42303,2024-06-18,ovo,10000,175629
ORD000005,USR29370,2024-03-11,ovo,0,1438378
ORD000006,USR35740,2023-08-23,bca va,0,117727
ORD000007,USR27782,2023-09-25,OVO,0,1475644
ORD000008,USR32840,2023-02-07,GoPay,0,341197
ORD000009,USR17121,2023-08-28,Mandiri VA,0,1560080
ORD000010,USR43493,2023-05-26,COD,0,152985
ORD000011,USR24868,2023-01-28,GoPay,10000,874696
ORD000012,USR17669,2023-12-15,OVO,0,523239
ORD000013,USR42846,2024-02-19,GO-PAY,20000,67960
ORD000014,USR42108,2023-06-05,gopay,0,72794
ORD000015,USR29857,2023-02-09,bca va,0,386627
ORD000016,USR03267,2024-07-16,OVO,10000,480920
ORD000017,USR06240,2022-11-09,Mandiri VA,10000,1387886
ORD000018,USR48138,2024-01-03,bca va,10000,899702
ORD000019,USR06287,2023-11-09,BCA Virtual Account,0,132608
ORD000020,USR40902,2024-02-13,GoPay,10000,478659
ORD000021,USR21340,2023-06-30,ovo,20000,775138
ORD000022,USR13231,2023-08-26,bca va,20000,510904
ORD000023,USR46870,2023-08-27,GO-PAY,10000,1908849
ORD000024,USR19878,2023-06-11,GoPay,0,999999999
ORD000025,USR21722,2022-11-19,bca va,10000,1529320
ORD000026,USR08593,2022-03-11,bca va,0,809890
ORD000027,USR42999,2022-12-26,GoPay,0,1224834
ORD000028,USR27672,2023-01-04,GoPay,10000,242384
ORD000029,USR21054,2023-06-22,bca va,0,1481521
ORD000030,USR07627,2023-03-07,OVO,20000,808655
ORD000031,USR31316,2023-04-08,OVO,20000,591766
ORD000032,USR37935,2022-12-28,ovo,0,1306382
ORD000033,USR38064,2023-09-26,Mandiri VA,50000,1436467
ORD000034,USR47831,2024-01-02,Mandiri VA,0,1620603
ORD000035,USR44278,2023-02-08,Mandiri VA,20000,118496
ORD000036,USR41534,2023-07-16,gopay,20000,1331006
ORD000037,USR02516,2023-09-23,gopay,0,924138
ORD000038,USR40243,2022-07-16,GO-PAY,0,1329032
ORD000039,USR06459,2023-05-23,OVO,0,885320
ORD000040,USR49842,2024-05-04,bca va,0,184447
ORD000041,USR06584,2023-01-01,Mandiri VA,0,125754
ORD000042,USR38781,2022-05-26,bca va,0,288661
ORD000043,USR27778,2023-07-22,bca va,0,1853372
ORD000044,USR43618,2023-03-18,Mandiri VA,0,870071
ORD000045,USR19845,2024-03-23,GO-PAY,10000,1379861
ORD000046,USR10466,2023-07-17,OVO,0,1490660
ORD000047,USR30161,2022-09-25,OVO,10000,1415724
ORD000048,USR03161,2023-10-12,gopay,0,1731649
ORD000049,USR37607,2023-05-18,COD,20000,451529
ORD000050,USR04282,2023-11-07,gopay,0,1047825
ORD000051,USR02841,2022-12-15,COD,0,1230734
ORD000052,USR01255,2022-09-11,ovo,20000,517803
ORD000053,USR36917,2022-05-04,COD,0,1867595
ORD000054,USR38510,2023-07-14,Mandiri VA,0,1833180
ORD000055,USR31707,2022-03-17,COD,20000,664981
ORD000056,USR29834,2023-12-10,GoPay,50000,1255227
ORD000057,USR16636,2023-05-27,COD,10000,424700
ORD000058,USR38933,2023-03-14,GoPay,10000,472265
ORD000059,USR18128,2022-08-10,gopay,0,1919322
ORD000060,USR46519,2024-05-27,BCA Virtual Account,20000,1379049
ORD000061,USR44808,2023-05-25,bca va,0,1879172
ORD000062,USR14848,2023-07-06,COD,0,1238526
ORD000063,USR12641,2022-09-30,GO-PAY,0,1529143
ORD000064,USR31650,2022-10-03,GO-PAY,0,1303091
ORD000065,USR13016,2023-06-15,bca va,10000,55662
ORD000066,USR33625,2023-05-26,gopay,0,1862169
ORD000067,USR22235,2023-02-25,GO-PAY,10000,1621165
ORD000068,USR37017,2022-06-30,GoPay,0,1849050
ORD000069,USR19640,2024-06-22,Mandiri VA,10000,1994725
ORD000070,USR02815,2023-05-23,GoPay,10000,1937078
ORD000071,USR10002,2024-04-20,Mandiri VA,0,231011
ORD000072,USR07060,2022-09-17,gopay,20000,1313971
ORD000073,USR11108,2023-09-06,COD,0,872607
ORD000074,USR32604,2024-01-08,GO-PAY,0,419954
ORD000075,USR47246,2022-10-22,gopay,0,1569842
ORD000076,USR07860,2024-02-07,bca va,0,74097
ORD000077,USR41679,2022-07-27,GoPay,0,1532625
ORD000078,USR46333,2023-10-06,ovo,10000,690943
ORD000079,USR25758,2023-03-20,Mandiri VA,0,1717897
ORD000080,USR17669,2024-01-27,OVO,0,1266515
ORD000081,USR20039,2023-08-04,Mandiri VA,20000,1787073
ORD000082,USR25255,2023-04-19,COD,10000,1197686
ORD000083,USR09128,2022-10-05,GO-PAY,0,1934817
ORD000084,USR35491,2023-10-25,GO-PAY,10000,1473121
ORD000085,USR33667,2023-06-18,GoPay,0,1621768
ORD000086,USR32348,2022-04-03,BCA Virtual Account,10000,917838
ORD000087,USR21285,2023-10-17,gopay,0,805224
ORD000088,USR14148,2023-08-21,ovo,0,1387668
ORD000089,USR45170,2024-05-31,OVO,0,555046
ORD000090,USR17156,2023-02-19,COD,20000,1072602
ORD000091,USR11588,2023-08-12,Mandiri VA,0,175506
ORD000092,USR09644,2023-09-13,ovo,20000,235747
ORD000093,USR22106,2023-09-15,GoPay,20000,134794
ORD000094,USR36274,2023-12-13,COD,0,551665
ORD000095,USR30793,2024-05-13,BCA Virtual Account,10000,1579635
ORD000096,USR28237,2024-04-02,GO-PAY,0,800109
ORD000097,USR05300,2023-08-07,ovo,0,263771
ORD000098,USR24143,2024-01-12,ovo,50000,237402
ORD000099,USR27499,2022-07-13,GO-PAY,0,1927190
ORD000100,USR29851,2022-07-26,Mandiri VA,0,502214
ORD000101,USR40201,2024-01-19,Mandiri VA,10000,547856
ORD000102,USR22546,2022-03-19,BCA Virtual Account,10000,910496
ORD000103,USR27360,2024-02-15,Mandiri VA,20000,182501
ORD000104,USR28042,2022-12-06,GoPay,0,1904197
ORD000105,USR14502,2023-02-18,gopay,0,107252
ORD000106,USR04516,2024-07-04,OVO,0,162930
ORD000107,USR03753,2023-01-27,BCA Virtual Account,0,1157705
ORD000108,USR33802,2022-09-17,ovo,10000,1799415
ORD000109,USR01671,2024-08-27,GoPay,0,1183494
ORD000110,USR14415,2024-01-13,gopay,0,160259
ORD000111,USR35979,2023-01-15,ovo,0,1881340
ORD000112,USR28864,2022-12-12,BCA Virtual Account,0,426656
ORD000113,USR44075,2023-06-22,COD,0,670809
ORD000114,USR21386,2023-06-06,GoPay,0,1813002
ORD000115,USR27525,2024-03-16,ovo,10000,619070
ORD000116,USR09677,2023-07-03,OVO,0,449306
ORD000117,USR24559,2024-05-07,bca va,10000,1882529
ORD000118,USR31304,2024-01-13,BCA Virtual Account,20000,932753
ORD000119,USR15411,2023-10-25,Mandiri VA,0,1989310
ORD000120,USR00907,2023-10-17,OVO,0,1908976
ORD000121,USR11906,2022-12-21,COD,0,1694880
ORD000122,USR42239,2023-06-24,GoPay,0,291961
ORD000123,USR36556,2023-05-17,OVO,0,1201094
ORD000124,USR33598,2023-11-25,OVO,10000,449724
ORD000125,USR21393,2022-12-14,bca va,0,158091
ORD000126,USR34570,2023-03-23,gopay,0,1324522
ORD000127,USR14860,2023-02-21,Mandiri VA,0,1454661
ORD000128,USR07655,2023-06-02,bca va,0,216300
ORD000129,USR46507,2023-09-16,gopay,0,361893
ORD000130,USR28338,2022-08-26,GO-PAY,10000,137842
ORD000131,USR48037,2023-06-28,GoPay,50000,1998602
ORD000132,USR17965,2023-09-10,bca va,0,802988
ORD000133,USR06318,2024-10-04,GO-PAY,20000,1705387
ORD000134,USR17894,2022-11-05,GO-PAY,0,450030
ORD000135,USR12881,2024-04-16,GO-PAY,0,234919
ORD000136,USR25252,2023-06-26,BCA Virtual Account,50000,1840496
ORD000137,USR21674,2022-08-06,Mandiri VA,0,1234891
ORD000138,USR46944,2023-06-15,OVO,10000,213828
ORD000139,USR11157,2024-07-18,GO-PAY,0,401326
ORD000140,USR24664,2023-07-16,Mandiri VA,10000,1210244
ORD000141,USR08021,2023-03-25,COD,0,69041
ORD000142,USR14725,2021-12-10,BCA Virtual Account,0,437132
ORD000143,USR42411,2023-08-27,ovo,10000,218371
ORD000144,USR16736,2022-06-11,bca va,0,1017751
ORD000145,USR46000,2022-11-13,bca va,0,1564482
ORD000146,USR37942,2022-08-27,GO-PAY,0,314055
ORD000147,USR03087,2023-08-22,GoPay,0,-150000
ORD000148,USR48799,2023-05-10,OVO,0,118525
ORD000149,USR13331,2023-02-03,Mandiri VA,0,1706504
ORD000150,USR16320,2023-03-31,BCA Virtual Account,0,1483317
ORD000151,USR19017,2023-03-21,gopay,0,616616
ORD000152,USR40564,2023-12-04,ovo,0,1456741
ORD000153,USR06040,2023-09-16,ovo,20000,1123500
ORD000154,USR47556,2023-08-21,ovo,0,354021
ORD000155,USR25150,2023-03-18,COD,0,60840
ORD000156,USR43233,2023-05-18,COD,0,1213507
ORD000157,USR13616,2022-12-28,Mandiri VA,0,208624
ORD000158,USR31071,2023-02-07,BCA Virtual Account,10000,782635
ORD000159,USR15512,2023-02-10,OVO,0,516812
ORD000160,USR03846,2022-10-31,Mandiri VA,0,816750
ORD000161,USR48890,2022-10-22,OVO,0,81749
ORD000162,USR33274,2023-05-02,BCA Virtual Account,0,1129009
ORD000163,USR35836,2023-03-07,OVO,10000,300606
ORD000164,USR20019,2024-01-01,BCA Virtual Account,10000,1749074
ORD000165,USR35139,2022-10-24,ovo,0,1981103
ORD000166,USR01540,2024-02-16,gopay,0,459492
ORD000167,USR46758,2024-06-20,GO-PAY,10000,1346683
ORD000168,USR48088,2023-12-02,Mandiri VA,10000,1303414
ORD000169,USR23081,2024-03-21,bca va,10000,1452845
ORD000170,USR47479,2022-06-04,OVO,0,1965725
ORD000171,USR33931,2024-03-31,gopay,10000,842411
ORD000172,USR23159,2023-06-06,Mandiri VA,0,235592
ORD000173,USR33285,2023-06-02,GO-PAY,50000,999999999
ORD000174,USR45644,2023-11-18,ovo,0,1734638
ORD000175,USR25247,2024-06-15,ovo,10000,63675
ORD000176,USR13967,2022-04-04,GoPay,10000,1453672
ORD000177,USR48449,2023-03-12,bca va,0,1811452
ORD000178,USR13749,2024-03-03,Mandiri VA,10000,243301
ORD000179,USR05503,2022-12-14,bca va,10000,280909
ORD000180,USR06434,2023-12-20,BCA Virtual Account,10000,1523083
ORD000181,USR05719,2022-11-19,ovo,0,190567
ORD000182,USR31322,2023-08-31,BCA Virtual Account,0,344980
ORD000183,USR38994,2024-10-27,GO-PAY,10000,635440
ORD000184,USR28038,2023-09-21,gopay,0,1304176
ORD000185,USR08379,2023-03-24,GoPay,0,1175907
ORD000186,USR27223,2022-08-16,BCA Virtual Account,0,1133420
ORD000187,USR42871,2022-08-18,bca va,0,1043381
ORD000188,USR00070,2023-12-26,COD,0,583690
ORD000189,USR10514,2022-10-28,OVO,0,799063
ORD000190,USR10746,2023-12-20,ovo,20000,984416
ORD000191,USR22911,2024-05-07,OVO,50000,404935
ORD000192,USR42796,2023-10-06,OVO,20000,1106618
ORD000193,USR21946,2022-07-29,BCA Virtual Account,0,79678
ORD000194,USR07400,2022-06-07,GoPay,0,682249
ORD000195,USR04753,2023-02-09,Mandiri VA,20000,72180
ORD000196,USR41783,2022-09-05,bca va,0,1727792
ORD000197,USR19889,2023-12-23,gopay,0,321313
ORD000198,USR28708,2024-02-08,gopay,0,783143
ORD000199,USR38456,2024-03-14,GO-PAY,0,971767
ORD000200,USR49581,2023-07-17,BCA Virtual Account,20000,1862964
ORD000201,USR11068,2022-08-21,BCA Virtual Account,0,1486458
ORD000202,USR38915,2022-03-22,gopay,0,522174
ORD000203,USR32234,2024-01-11,ovo,0,1220399
ORD000204,USR10030,2023-10-10,BCA Virtual Account,0,171712
ORD000205,USR44506,2023-03-16,Mandiri VA,10000,294646
ORD000206,USR40764,2023-03-03,gopay,0,1038161
ORD000207,USR29034,2024-02-10,GO-PAY,0,1322723
ORD000208,USR27985,2023-01-22,OVO,10000,323196
ORD000209,USR10266,2024-04-05,OVO,0,297754
ORD000210,USR12429,2023-08-16,OVO,0,489409
ORD000211,USR37883,2023-03-30,BCA Virtual Account,0,893554
ORD000212,USR20254,2024-02-23,bca va,10000,67532
ORD000213,USR35012,2022-12-25,bca va,0,1203011
ORD000214,USR33480,2023-05-10,GO-PAY,0,1807552
ORD000215,USR46815,2024-09-21,GoPay,10000,964797
ORD000216,USR11964,2023-07-03,BCA Virtual Account,0,1509527
ORD000217,USR35929,2022-05-24,OVO,0,982816
ORD000218,USR10319,2023-11-19,bca va,10000,452528
ORD000219,USR28528,2022-01-25,COD,20000,999999999
ORD000220,USR11681,2023-08-18,GO-PAY,10000,1028012
ORD000221,USR33448,2023-05-22,BCA Virtual Account,10000,190716
ORD000222,USR10930,2024-04-05,GO-PAY,10000,1183485
ORD000223,USR40498,2023-01-27,Mandiri VA,20000,330029
ORD000224,USR01024,2022-09-08,Mandiri VA,0,1054772
ORD000225,USR42459,2024-04-30,OVO,0,1513516
ORD000226,USR22738,2022-08-26,BCA Virtual Account,20000,332758
ORD000227,USR26735,2022-10-11,OVO,0,1567805
ORD000228,USR15093,2023-04-22,GoPay,20000,1670836
ORD000229,USR43957,2024-04-06,GO-PAY,0,883445
ORD000230,USR44687,2022-09-17,bca va,20000,77519
ORD000231,USR49156,2023-01-28,OVO,0,72993
ORD000232,USR21702,2024-05-23,GO-PAY,0,1451923
ORD000233,USR35534,2022-09-05,BCA Virtual Account,0,766537
ORD000234,USR11206,2023-11-06,ovo,0,261510
ORD000235,USR40079,2022-10-06,gopay,0,1247024
ORD000236,USR38950,2022-11-14,ovo,50000,540975
ORD000237,USR43664,2023-04-13,Mandiri VA,10000,1087591
ORD000238,USR05441,2022-12-30,ovo,0,1124700
ORD000239,USR29767,2023-06-28,GO-PAY,0,1973594
ORD000240,USR09622,2022-05-22,Mandiri VA,10000,448732
ORD000241,USR37552,2023-02-24,BCA Virtual Account,0,249389
ORD000242,USR43102,2023-04-29,ovo,20000,1360760
ORD000243,USR40795,2023-05-11,Mandiri VA,0,1529224
ORD000244,USR34270,2022-07-26,Mandiri VA,0,1949962
ORD000245,USR48437,2024-08-16,GoPay,0,817270
ORD000246,USR12462,2024-08-25,BCA Virtual Account,0,955279
ORD000247,USR37452,2022-12-15,OVO,0,1843096
ORD000248,USR38660,2023-03-26,GoPay,0,923121
ORD000249,USR48395,2022-03-10,BCA Virtual Account,0,566776
ORD000250,USR07157,2023-01-19,Mandiri VA,0,1119370
ORD000251,USR36585,2024-10-22,gopay,0,902429
ORD000252,USR23185,2023-10-26,BCA Virtual Account,20000,631776
ORD000253,USR03465,2022-04-30,BCA Virtual Account,10000,800518
ORD000254,USR32911,2023-08-15,GO-PAY,0,1697759
ORD000255,USR25477,2022-06-23,BCA Virtual Account,20000,1424198
ORD000256,USR22343,2023-09-23,bca va,0,1776913
ORD000257,USR10442,2022-11-04,Mandiri VA,20000,1449147
ORD000258,USR42527,2022-09-13,Mandiri VA,0,1013404
ORD000259,USR13380,2023-06-26,GO-PAY,20000,1707941
ORD000260,USR06605,2023-11-19,ovo,0,1905756
ORD000261,USR17184,2023-12-27,Mandiri VA,10000,1689652
ORD000262,USR25313,2024-04-11,COD,0,546354
ORD000263,USR03757,2022-10-05,BCA Virtual Account,0,1857159
ORD000264,USR08058,2024-03-03,bca va,0,1176724
ORD000265,USR25351,2024-03-09,GO-PAY,10000,1035141
ORD000266,USR26258,2023-02-08,bca va,0,528135
ORD000267,USR13186,2024-02-04,GoPay,0,753234
ORD000268,USR00614,2022-10-28,GO-PAY,10000,1754747
ORD000269,USR43173,2023-03-10,ovo,0,433191
ORD000270,USR16805,2022-12-21,BCA Virtual Account,10000,91187
ORD000271,USR29682,2023-06-29,COD,50000,1353243
ORD000272,USR07943,2023-05-14,GO-PAY,0,1235021
ORD000273,USR19596,2022-09-20,ovo,0,307392
ORD000274,USR16462,2023-12-26,BCA Virtual Account,0,1259137
ORD000275,USR23576,2022-01-31,COD,10000,885490
ORD000276,USR32353,2024-01-02,ovo,0,1962625
ORD000277,USR38452,2024-05-14,gopay,10000,579016
ORD000278,USR45054,2023-06-11,gopay,20000,335256
ORD000279,USR37706,2024-02-04,OVO,50000,652481
ORD000280,USR44462,2023-11-17,BCA Virtual Account,0,1075223
ORD000281,USR42438,2023-08-29,OVO,0,961285
ORD000282,USR10524,2023-09-27,gopay,0,1671356
ORD000283,USR22593,2023-12-14,COD,20000,701661
ORD000284,USR46374,2023-05-23,COD,20000,1889702
ORD000285,USR42485,2024-09-24,gopay,20000,102319
ORD000286,USR29992,2024-02-21,OVO,50000,494859
ORD000287,USR48742,2023-07-02,Mandiri VA,20000,494350
ORD000288,USR27267,2022-12-21,COD,0,570647
ORD000289,USR46173,2022-09-09,OVO,0,795570
ORD000290,USR00932,2023-11-21,bca va,0,792697
ORD000291,USR34801,2023-09-16,COD,20000,367762
ORD000292,USR32690,2023-11-23,gopay,10000,450208
ORD000293,USR00070,2023-07-31,COD,20000,604389
ORD000294,USR48190,2023-05-01,bca va,0,978289
ORD000295,USR33028,2024-06-10,GO-PAY,0,623442
ORD000296,USR02666,2023-08-08,Mandiri VA,10000,563868
ORD000297,USR12910,2023-09-24,gopay,20000,516402
ORD000298,USR35512,2024-03-02,bca va,0,1172053
ORD000299,USR45310,2022-10-19,BCA Virtual Account,0,1928361
ORD000300,USR26651,2023-11-03,COD,10000,1086659
ORD000301,USR29722,2022-10-19,GoPay,0,1555657
ORD000302,USR46875,2023-10-13,Mandiri VA,0,1038388
ORD000303,USR02766,2022-07-13,gopay,0,1960482
ORD000304,USR09144,2022-11-27,Mandiri VA,10000,439766
ORD000305,USR44320,2022-08-25,OVO,0,1165387
ORD000306,USR10157,2024-01-30,COD,0,909761
ORD000307,USR24684,2022-11-28,Mandiri VA,50000,1952214
ORD000308,USR09597,2023-05-12,BCA Virtual Account,10000,1063366
ORD000309,USR08631,2022-02-20,GoPay,0,1939026
ORD000310,USR48630,2023-02-16,GO-PAY,0,150354
ORD000311,USR19597,2022-06-12,GO-PAY,0,662774
ORD000312,USR27125,2023-03-20,BCA Virtual Account,0,334705
ORD000313,USR36335,2023-10-12,GO-PAY,10000,287443
ORD000314,USR36709,2024-02-09,ovo,10000,1777960
ORD000315,USR17699,2023-11-10,GoPay,0,836434
ORD000316,USR42535,2024-02-01,GO-PAY,0,70735
ORD000317,USR18611,2023-02-20,BCA Virtual Account,10000,1608623
ORD000318,USR02747,2022-05-19,bca va,0,1706377
ORD000319,USR21487,2023-06-16,GO-PAY,0,177602
ORD000320,USR49285,2023-10-18,GoPay,0,499953
ORD000321,USR39942,2022-10-13,ovo,0,526363
ORD000322,USR35113,2022-10-22,Mandiri VA,20000,1973781
ORD000323,USR14487,2023-10-08,BCA Virtual Account,0,86357
ORD000324,USR20890,2024-06-15,GO-PAY,0,564664
ORD000325,USR19188,2022-12-15,COD,0,1690199
