user_id,join_date,gender,location,age
USR00001,2022-04-13,Female,Yogyakarta,21
USR00002,2023-03-12,Female,Bandung,33
USR00003,2022-09-28,Female,Bandung,20
USR00004,2022-04-17,Female,Bandung,25
USR00005,2022-03-13,Female,Bandung,56
USR00006,2023-12-02,Female,Medan,22
USR00007,2022-01-21,Female,Makassar,54
USR00008,2023-09-07,Female,Medan,54
USR00009,2022-05-02,Female,Jakarta,54
USR00010,2023-04-12,Male,Yogyakarta,30
USR00011,2022-08-03,Male,Makassar,28
USR00012,2022-11-27,Female,Makassar,44
USR00013,2023-04-04,nan,Yogyakarta,49
USR00014,2022-03-29,Male,Yogyakarta,54
USR00015,2023-01-08,Male,Jakarta,16
USR00016,2022-04-10,Male,Surabaya,52
USR00017,2023-10-26,Male,Yogyakarta,18
USR00018,2022-05-11,Male,Makassar,62
USR00019,2023-10-24,Female,Medan,41
USR00020,2022-11-05,Female,Makassar,57
USR00021,2022-12-10,Female,Yogyakarta,28
USR00022,2023-05-07,Male,Yogyakarta,64
USR00023,2023-02-18,Female,Jakarta,19
USR00024,2023-01-21,Female,Jakarta,33
USR00025,2022-07-11,Male,Yogyakarta,35
USR00026,2022-10-04,Male,Medan,55
USR00027,2022-06-10,Female,Jakarta,62
USR00028,2023-04-05,Female,Makassar,49
USR00029,2022-11-10,Female,Bandung,46
USR00030,2022-01-22,Male,Medan,15
USR00031,2022-09-10,Female,Jakarta,55
USR00032,2023-07-15,Male,Surabaya,63
USR00033,2023-04-20,Female,Surabaya,25
USR00034,2022-02-28,Female,Bandung,24
USR00035,2023-05-26,Male,Makassar,31
USR00036,2023-11-13,Male,Yogyakarta,53
USR00037,2023-04-21,Male,Bandung,52
USR00038,2023-12-01,Male,Makassar,49
USR00039,2022-07-09,Male,Yogyakarta,45
USR00040,2023-11-18,Female,Yogyakarta,18
USR00041,2023-07-17,Female,Surabaya,23
USR00042,2023-07-21,Female,Jakarta,42
USR00043,2022-09-01,Female,Bandung,40
USR00044,2023-05-20,Female,Jakarta,40
USR00045,2022-05-11,nan,Surabaya,26
USR00046,2023-04-30,Male,Makassar,50
USR00047,2023-10-09,Female,Yogyakarta,41
USR00048,2022-01-21,Male,Jakarta,64
USR00049,2022-06-16,Male,Surabaya,57
USR00050,2022-10-01,Female,Medan,30
USR00051,2023-01-23,Female,Yogyakarta,40
USR00052,2023-08-24,Female,Bandung,19
USR00053,2022-11-12,Male,Makassar,64
USR00054,2022-01-14,Male,Makassar,47
USR00055,2022-08-30,Female,Medan,31
USR00056,2022-12-12,Male,Yogyakarta,23
USR00057,2023-07-19,Male,Yogyakarta,30
USR00058,2022-12-06,Male,Bandung,58
USR00059,2022-04-02,nan,Jakarta,28
USR00060,2023-01-02,Male,Surabaya,25
USR00061,2023-03-31,Female,Surabaya,55
USR00062,2023-03-04,Female,Jakarta,50
USR00063,2023-05-24,Female,Jakarta,62
USR00064,2022-02-04,Female,Bandung,17
USR00065,2022-07-25,Female,Medan,34
USR00066,2022-03-22,nan,Surabaya,45
USR00067,2023-07-16,Female,Medan,61
USR00068,2023-01-23,Male,Bandung,18
USR00069,2022-01-02,Male,Jakarta,45
USR00070,2023-01-25,nan,Yogyakarta,57
USR00071,2023-07-20,Female,Surabaya,57
USR00072,2022-04-16,Female,Medan,32
USR00073,2023-04-22,Female,Makassar,16
USR00074,2023-12-04,Female,Surabaya,62
USR00075,2023-02-06,Male,Makassar,28
USR00076,2023-12-31,Male,Makassar,52
USR00077,2023-07-10,Female,Makassar,39
USR00078,2022-06-11,Male,Makassar,28
USR00079,2022-07-21,Male,Yogyakarta,20
USR00080,2022-09-27,Female,Surabaya,39
USR00081,2022-09-28,Male,Makassar,64
USR00082,2023-04-01,Male,Yogyakarta,54
USR00083,2023-04-07,Female,Surabaya,44
USR00084,2023-12-28,Female,Jakarta,37
USR00085,2022-09-09,Male,Medan,49
USR00086,2023-12-03,Female,Medan,58
USR00087,2022-10-23,Female,Medan,64
USR00088,2023-12-26,Male,Jakarta,38
USR00089,2023-12-21,Male,Medan,47
USR00090,2022-12-04,Male,Yogyakarta,23
USR00091,2022-02-22,Female,Jakarta,62
USR00092,2022-08-05,Female,Bandung,38
USR00093,2022-07-07,Female,Surabaya,32
USR00094,2023-01-15,Female,Bandung,59
USR00095,2023-05-08,Male,Jakarta,53
USR00096,2022-02-10,Male,Makassar,43
USR00097,2022-06-06,Male,Jakarta,24
USR00098,2022-01-15,Male,Yogyakarta,59
USR00099,2022-03-06,Female,Surabaya,60
USR00100,2023-06-05,Female,Bandung,41
USR00101,2022-12-10,Male,Jakarta,27
USR00102,2022-05-09,Male,Surabaya,28
USR00103,2023-10-10,Male,Makassar,60
USR00104,2023-04-17,nan,Yogyakarta,52
USR00105,2022-03-04,Female,Bandung,61
USR00106,2022-05-19,Female,Bandung,46
USR00107,2023-05-14,Male,Medan,45
USR00108,2023-08-16,Male,Bandung,46
USR00109,2023-01-27,Male,Medan,40
USR00110,2023-11-06,nan,Bandung,50
USR00111,2023-02-23,Female,Bandung,54
USR00112,2022-10-16,Female,Jakarta,54
USR00113,2023-01-14,Female,Makassar,35
USR00114,2023-05-05,Female,Yogyakarta,27
USR00115,2022-08-19,Male,Makassar,30
USR00116,2022-02-10,Male,Bandung,61
USR00117,2022-01-28,Female,Bandung,44
USR00118,2022-05-15,Male,Medan,30
USR00119,2022-07-20,Male,Makassar,40
USR00120,2022-02-02,Female,Yogyakarta,45
USR00121,2022-02-17,nan,Jakarta,57
USR00122,2023-05-18,nan,Makassar,36
USR00123,2023-02-11,Male,Surabaya,57
USR00124,2023-07-28,Male,Makassar,46
USR00125,2023-12-29,Female,Jakarta,58
USR00126,2022-04-09,Female,Makassar,46
USR00127,2023-11-15,nan,Yogyakarta,32
USR00128,2023-12-27,Female,Jakarta,50
USR00129,2023-07-01,Female,Medan,40
USR00130,2023-09-05,Male,Bandung,45
USR00131,2023-04-07,Male,Yogyakarta,54
USR00132,2023-10-05,Male,Yogyakarta,15
USR00133,2022-01-05,Female,Medan,23
USR00134,2022-08-06,Male,Bandung,48
USR00135,2023-05-18,Female,Medan,27
USR00136,2023-02-02,Female,Medan,64
USR00137,2023-01-28,Male,Bandung,63
USR00138,2022-07-26,nan,Jakarta,22
USR00139,2022-01-15,Female,Surabaya,29
USR00140,2023-07-08,nan,Bandung,26
USR00141,2023-04-06,nan,Jakarta,60
USR00142,2023-11-22,Male,Jakarta,33
USR00143,2023-07-29,Male,Jakarta,62
USR00144,2022-08-29,Male,Yogyakarta,29
USR00145,2023-07-18,Female,Makassar,39
